projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6070-O,20.0,2.71,70.0,35.0,70.0,0.33,145.0,20.0,0.175,0,348
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6070-T4,20.0,2.71,70.0,90.0,170.0,0.33,320.0,20.0,0.192,0,506
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,10.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,0,347
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,0,501
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,15,516
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,30,580
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,45,718
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,30.0,2.7,70.0,90.0,260.0,0.33,290.0,10.0,0.07,0,581
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,25.2,2.81,73.1,160.0,414.0,0.33,462.0,9.0,0.087,0,682
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,32.3,2.81,73.1,160.0,414.0,0.33,462.0,9.0,0.087,0,783
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,39.0,2.81,73.1,160.0,414.0,0.33,462.0,9.0,0.087,0,860
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,40.9,2.81,73.1,160.0,414.0,0.33,462.0,9.0,0.087,0,892
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H116,20.0,2.66,70.3,85.0,240.0,0.33,317.0,16.0,0.108,0,492
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H116,40.0,2.66,70.3,85.0,240.0,0.33,317.0,16.0,0.108,0,722
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H116,60.0,2.66,70.3,85.0,240.0,0.33,317.0,16.0,0.108,0,912
