projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50,sigma_mps,ind_data,source
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6070-O,20,2.71,70,35,70,0.33,145,20,0.175,0,348,,Y,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6070-T4,20,2.71,70,90,170,0.33,320,20,0.192,0,506,,Y,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,10,2.7,70,90,260,0.33,290,10,0.07,0,347,,N,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,0,501,,Y,forrestal_14_expmech
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,15,516,,Y,forrestal_14_expmech
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,30,580,,Y,forrestal_14_expmech
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,20,2.7,70,90,260,0.33,290,10,0.07,45,718,,Y,forrestal_14_expmech
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6082-T6,30,2.7,70,90,260,0.33,290,10,0.07,0,581,,N,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,25.2,2.81,73.1,160,414,0.33,462,9,0.087,0,682,,N,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,32.3,2.81,73.1,160,414,0.33,462,9,0.087,0,783,,N,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,39,2.81,73.1,160,414,0.33,462,9,0.087,0,860,,N,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA2139-T8,40.9,2.81,73.1,160,414,0.33,462,9,0.087,0,892,,N,forrestal_21_jdbm
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H116,20,2.66,70.3,85,240,0.33,317,16,0.108,0,492,,Y,borvik_10_expmech
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H116,40,2.66,70.3,85,240,0.33,317,16,0.108,0,722,,Y,borvik_10_expmech
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H116,60,2.66,70.3,85,240,0.33,317,16,0.108,0,912,,Y,borvik_10_expmech
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H131,26,2.66,70.3,99,250,0.33,310,13,0.1182,0,588,,N,forrestal_13_book
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H131,37.8,2.66,70.3,99,250,0.33,310,13,0.1182,0,712,,N,forrestal_13_book
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H131,50.9,2.66,70.3,99,250,0.33,310,13,0.1182,0,876,,N,forrestal_13_book
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H131,54.7,2.66,70.3,99,250,0.33,310,13,0.1182,0,890,,N,forrestal_13_book
CAL30APM2,AP,6.2484,5.3,7.85,570,AA5083-H131,57.2,2.66,70.3,99,250,0.33,310,13,0.1182,0,927,,N,forrestal_13_book
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6061-T651,25.7,2.7,68.3,116,276,0.33,310,17,0.0712,0,596,6,N,gooch_07_ISB
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6061-T651,26,2.7,68.3,112,276,0.33,310,17,0.0712,0,583,6,Y,gooch_07_ISB
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6061-T651,38.8,2.7,68.3,107,276,0.33,310,17,0.0712,0,754,,N,gooch_07_ISB
CAL30APM2,AP,6.2484,5.3,7.85,570,AA6061-T651,51.2,2.7,68.3,107,276,0.33,310,17,0.0712,0,883,,N,gooch_07_ISB
