number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.8953257083892823,2026-07-22 00:24:58.778192,2026-07-22 00:25:02.666741,0 days 00:00:03.888549,0.7234569879903545,0.7986517376432761,0.16639490416120445,8,5,121,0.9925457293497838,COMPLETE
1,0.9088960528373718,2026-07-22 00:25:02.669613,2026-07-22 00:25:05.568026,0 days 00:00:02.898413,0.9457022654859867,3.712798170578593,0.09852680607116793,6,4,113,0.6317830143735603,COMPLETE
2,0.8213319897651672,2026-07-22 00:25:05.569983,2026-07-22 00:25:08.298737,0 days 00:00:02.728754,0.7156233177921608,3.9114598163055785,0.011096493875526742,5,10,306,0.8748074772734817,COMPLETE
3,0.9062977433204651,2026-07-22 00:25:08.300401,2026-07-22 00:25:08.620926,0 days 00:00:00.320525,0.9464373352437492,0.8191120080296449,0.19752240497291862,9,9,284,0.7472278780433937,COMPLETE
4,0.9046963453292847,2026-07-22 00:25:08.623021,2026-07-22 00:25:08.848356,0 days 00:00:00.225335,0.9074029392955947,0.782073076206754,0.2581420598479455,9,5,163,0.9136091535919197,COMPLETE
5,0.8972450494766235,2026-07-22 00:25:08.850239,2026-07-22 00:25:08.981897,0 days 00:00:00.131658,0.6428452939497692,4.558966463355389,0.12540451428001922,6,8,158,0.9029070889514123,COMPLETE
6,0.9093135237693787,2026-07-22 00:25:08.984080,2026-07-22 00:25:09.453774,0 days 00:00:00.469694,0.9976469074313955,2.246437087943155,0.03543207671197355,9,10,431,0.7798695668320841,COMPLETE
7,0.9115756273269653,2026-07-22 00:25:09.455714,2026-07-22 00:25:09.934087,0 days 00:00:00.478373,0.7412490852537781,4.692519618618034,0.10494211416809618,10,5,384,0.7646109716312084,COMPLETE
8,0.9065615773200989,2026-07-22 00:25:09.936096,2026-07-22 00:25:10.151288,0 days 00:00:00.215192,0.7881042193502725,3.167733655957066,0.1603749330132227,7,9,252,0.7415070985852714,COMPLETE
9,0.8961767196655274,2026-07-22 00:25:10.153300,2026-07-22 00:25:10.391489,0 days 00:00:00.238189,0.8118243681977826,1.079566621019562,0.1672586885990358,10,5,174,0.9904404729576627,COMPLETE
10,0.8950042486190796,2026-07-22 00:25:10.393581,2026-07-22 00:25:10.611290,0 days 00:00:00.217709,0.6014884794469526,2.416749396245619,0.05264961020383326,3,1,480,0.6590882571539161,COMPLETE
11,0.9099547386169433,2026-07-22 00:25:10.613311,2026-07-22 00:25:11.160087,0 days 00:00:00.546776,0.866254438542663,2.035636261263448,0.04244023897496301,10,7,432,0.7986405048052276,COMPLETE
12,0.9081009864807129,2026-07-22 00:25:11.162025,2026-07-22 00:25:11.652926,0 days 00:00:00.490901,0.850455650865186,4.734555733268209,0.04238115408831491,10,7,380,0.8032284937567211,COMPLETE
13,0.9014321804046631,2026-07-22 00:25:11.654966,2026-07-22 00:25:12.309962,0 days 00:00:00.654996,0.7401004182813283,1.9047781562012045,0.021103823677429117,10,3,368,0.7034313304326473,COMPLETE
14,0.9051593661308288,2026-07-22 00:25:12.311698,2026-07-22 00:25:12.889480,0 days 00:00:00.577782,0.8507664755720713,2.9655265813434903,0.07861949411206869,8,7,491,0.8364944879972895,COMPLETE
15,0.9072175741195678,2026-07-22 00:25:12.891328,2026-07-22 00:25:13.407783,0 days 00:00:00.516455,0.6876454519078333,0.053430834742304256,0.06803684299783777,10,7,383,0.6970385938287116,COMPLETE
16,0.9031636118888855,2026-07-22 00:25:13.409525,2026-07-22 00:25:14.070133,0 days 00:00:00.660608,0.7836926209132923,1.6406888888340307,0.024937156960286335,8,2,431,0.8329717255681334,COMPLETE
17,0.8919115900993347,2026-07-22 00:25:14.071894,2026-07-22 00:25:14.598295,0 days 00:00:00.526401,0.8683664145600957,4.17387146251443,0.014326236693484663,9,6,332,0.7747190780884599,COMPLETE
18,0.8664507508277893,2026-07-22 00:25:14.600087,2026-07-22 00:25:14.833961,0 days 00:00:00.233874,0.6739318602334801,4.97477271539111,0.029183647784768302,3,3,434,0.6082781740813323,COMPLETE
19,0.9053596377372741,2026-07-22 00:25:14.835709,2026-07-22 00:25:15.214385,0 days 00:00:00.378676,0.7596228803239057,3.232401776397611,0.05099868576613105,10,6,261,0.691363961849824,COMPLETE
20,0.9040286064147949,2026-07-22 00:25:15.216173,2026-07-22 00:25:15.669275,0 days 00:00:00.453102,0.8963066569370918,2.6659599704173274,0.1043844338591106,7,4,347,0.8311484455726027,COMPLETE
21,0.9088942408561707,2026-07-22 00:25:15.672024,2026-07-22 00:25:16.348818,0 days 00:00:00.676794,0.9761191802057766,1.985249158632707,0.0359051034520243,9,10,430,0.767327603648793,COMPLETE
22,0.9039334416389465,2026-07-22 00:25:16.350995,2026-07-22 00:25:17.119526,0 days 00:00:00.768531,0.9727705445040126,1.535067204754138,0.01912682936558843,9,8,408,0.7954251867912517,COMPLETE
23,0.9098865628242493,2026-07-22 00:25:17.122050,2026-07-22 00:25:17.727260,0 days 00:00:00.605210,0.8242351670169009,2.393820261109311,0.0672369039304506,8,9,458,0.7265712453832894,COMPLETE
24,0.9127346038818359,2026-07-22 00:25:17.729777,2026-07-22 00:25:18.315537,0 days 00:00:00.585760,0.8246801706614887,3.6278935205891836,0.06338958549263554,7,8,470,0.7399585555841987,COMPLETE
25,0.9156105756759644,2026-07-22 00:25:18.317980,2026-07-22 00:25:18.758398,0 days 00:00:00.440418,0.8128041591796694,3.559899913532848,0.08775879638292253,5,6,469,0.6690019360529986,COMPLETE
26,0.9170784473419189,2026-07-22 00:25:18.760512,2026-07-22 00:25:19.114340,0 days 00:00:00.353828,0.7794477944519873,3.5677672897444848,0.08692179643959058,4,6,498,0.6645617983432436,COMPLETE
27,0.9167020440101623,2026-07-22 00:25:19.116725,2026-07-22 00:25:19.469090,0 days 00:00:00.352365,0.8119989947780557,3.4966057791748724,0.08277920347570882,4,6,480,0.657632076741404,COMPLETE
28,0.9179364204406738,2026-07-22 00:25:19.471686,2026-07-22 00:25:19.821088,0 days 00:00:00.349402,0.7895739925977383,4.179441760141914,0.08494161355261695,4,6,486,0.6601983112147155,COMPLETE
29,0.9162804961204529,2026-07-22 00:25:19.823128,2026-07-22 00:25:20.211898,0 days 00:00:00.388770,0.7754530941417207,4.058353686149498,0.1294679141352652,4,4,499,0.6026698573463499,COMPLETE
